TransactionID,CustomerID,TransactionDate,ProductCategory,Amount,PaymentMethod,CustomerAge,Churned
TXN-10040,CUST-152,2023-01-02 16:00:00,Electronics,183.3,PayPal,45.0,0
TXN-10041,CUST-915,2023-01-02 17:00:00,Beauty,63.76,PayPal,45.0,1
TXN-10042,CUST-673,2023-01-02 18:00:00,Clothing,62.27,Debit Card,,0
TXN-10043,CUST-640,2023-01-02 19:00:00,Beauty,52.02,Debit Card,60.0,0
TXN-10044,CUST-561,2023-01-02 20:00:00,Beauty,74.52,Credit Card,60.0,0
TXN-10045,CUST-895,2023-01-02 21:00:00,Books,130.06,Debit Card,18.0,0
TXN-10046,CUST-866,2023-01-02 22:00:00,Electronics,97.73,Credit Card,25.0,0
TXN-10047,CUST-838,2023-01-02 23:00:00,Beauty,86.45,Credit Card,25.0,1
TXN-10048,CUST-445,2023-01-03 00:00:00,Electronics,161.56,Credit Card,,0
TXN-10049,CUST-393,2023-01-03 01:00:00,Books,141.2,Debit Card,52.0,1
TXN-10050,CUST-829,2023-01-03 02:00:00,Electronics,51.81,Debit Card,18.0,0
TXN-10051,CUST-491,2023-01-03 03:00:00,Clothing,159.27,Credit Card,34.0,0
TXN-10052,CUST-135,2023-01-03 04:00:00,Beauty,140.24,UPI,45.0,0
TXN-10053,CUST-228,2023-01-03 05:00:00,Electronics,141.13,Debit Card,45.0,0
TXN-10054,CUST-413,2023-01-03 06:00:00,Home & Kitchen,97.18,PayPal,25.0,0
TXN-10055,CUST-957,2023-01-03 07:00:00,Electronics,112.51,UPI,,1
TXN-10056,CUST-408,2023-01-03 08:00:00,Beauty,41.09,PayPal,18.0,0
TXN-10057,CUST-333,2023-01-03 09:00:00,Books,154.68,Debit Card,34.0,0
TXN-10058,CUST-971,2023-01-03 10:00:00,Books,80.04,UPI,45.0,0
TXN-10059,CUST-660,2023-01-03 11:00:00,Beauty,85.17,Debit Card,18.0,0
TXN-10060,CUST-809,2023-01-03 12:00:00,Clothing,84.63,Debit Card,34.0,1
TXN-10061,CUST-343,2023-01-03 13:00:00,Clothing,192.02,UPI,60.0,0
TXN-10062,CUST-101,2023-01-03 14:00:00,Books,93.25,Debit Card,25.0,0
TXN-10063,CUST-538,2023-01-03 15:00:00,Books,157.69,UPI,52.0,0
TXN-10064,CUST-905,2023-01-03 16:00:00,Beauty,119.04,Debit Card,45.0,0
TXN-10065,CUST-727,2023-01-03 17:00:00,Clothing,86.84,Credit Card,45.0,0
TXN-10066,CUST-829,2023-01-03 18:00:00,Books,79.58,PayPal,34.0,0
TXN-10067,CUST-222,2023-01-03 19:00:00,Clothing,94.85,Credit Card,52.0,1
TXN-10068,CUST-369,2023-01-03 20:00:00,Books,117.02,Debit Card,60.0,1
TXN-10069,CUST-302,2023-01-03 21:00:00,Electronics,144.07,Debit Card,18.0,0
TXN-10070,CUST-939,2023-01-03 22:00:00,Home & Kitchen,101.16,Debit Card,25.0,0
TXN-10071,CUST-370,2023-01-03 23:00:00,Electronics,99.66,Credit Card,18.0,0
TXN-10072,CUST-352,2023-01-04 00:00:00,Books,84.75,Debit Card,34.0,0
TXN-10073,CUST-754,2023-01-04 01:00:00,Home & Kitchen,72.24,UPI,45.0,1
TXN-10074,CUST-975,2023-01-04 02:00:00,Home & Kitchen,68.89,PayPal,60.0,1
TXN-10075,CUST-199,2023-01-04 03:00:00,Books,159.52,Debit Card,45.0,0
TXN-10076,CUST-894,2023-01-04 04:00:00,Books,98.85,Debit Card,18.0,0
TXN-10077,CUST-289,2023-01-04 05:00:00,Clothing,102.39,PayPal,60.0,0
TXN-10078,CUST-971,2023-01-04 06:00:00,Books,93.34,PayPal,,0
TXN-10079,CUST-289,2023-01-04 07:00:00,Beauty,107.33,PayPal,25.0,0
TXN-10080,CUST-171,2023-01-04 08:00:00,Books,134.84,Credit Card,34.0,1
TXN-10081,CUST-915,2023-01-04 09:00:00,Beauty,100.52,Credit Card,25.0,0
TXN-10082,CUST-748,2023-01-04 10:00:00,Books,127.23,Debit Card,34.0,0
TXN-10083,CUST-956,2023-01-04 11:00:00,Clothing,176.73,PayPal,25.0,0
TXN-10084,CUST-515,2023-01-04 12:00:00,Beauty,87.21,Debit Card,,0
TXN-10085,CUST-674,2023-01-04 13:00:00,Electronics,102.42,Debit Card,18.0,0
TXN-10086,CUST-261,2023-01-04 14:00:00,Beauty,145.64,Debit Card,52.0,1
TXN-10087,CUST-915,2023-01-04 15:00:00,Clothing,179.89,Credit Card,60.0,1
TXN-10088,CUST-584,2023-01-04 16:00:00,Beauty,70.31,PayPal,34.0,1
TXN-10089,CUST-287,2023-01-04 17:00:00,Books,51.97,Debit Card,18.0,0
TXN-10090,CUST-848,2023-01-04 18:00:00,Books,119.98,Credit Card,45.0,0
TXN-10091,CUST-367,2023-01-04 19:00:00,Clothing,115.84,UPI,45.0,1
TXN-10092,CUST-838,2023-01-04 20:00:00,Home & Kitchen,148.01,UPI,25.0,0
TXN-10093,CUST-485,2023-01-04 21:00:00,Books,141.9,Debit Card,45.0,1
TXN-10094,CUST-228,2023-01-04 22:00:00,Electronics,118.64,Debit Card,52.0,1
TXN-10095,CUST-971,2023-01-04 23:00:00,Clothing,161.97,PayPal,34.0,0
TXN-10096,CUST-346,2023-01-05 00:00:00,Beauty,92.76,PayPal,25.0,0
TXN-10097,CUST-476,2023-01-05 01:00:00,Beauty,128.46,Debit Card,34.0,0
TXN-10098,CUST-230,2023-01-05 02:00:00,Electronics,71.37,Credit Card,34.0,0
TXN-10099,CUST-120,2023-01-05 03:00:00,Books,118.31,Debit Card,,0
TXN-10100,CUST-306,2023-01-05 04:00:00,Clothing,61.55,PayPal,18.0,1
TXN-10101,CUST-515,2023-01-05 05:00:00,Electronics,75.37,PayPal,45.0,1
TXN-10102,CUST-316,2023-01-05 06:00:00,Books,188.38,Credit Card,60.0,0
TXN-10103,CUST-866,2023-01-05 07:00:00,Clothing,47.02,Debit Card,34.0,0
TXN-10104,CUST-602,2023-01-05 08:00:00,Beauty,111.33,PayPal,52.0,0
TXN-10105,CUST-443,2023-01-05 09:00:00,Clothing,153.09,Debit Card,,0
TXN-10106,CUST-904,2023-01-05 10:00:00,Home & Kitchen,208.85,PayPal,52.0,0
TXN-10107,CUST-737,2023-01-05 11:00:00,Clothing,127.08,UPI,60.0,0
TXN-10108,CUST-351,2023-01-05 12:00:00,Home & Kitchen,129.37,UPI,45.0,0
TXN-10109,CUST-300,2023-01-05 13:00:00,Clothing,121.59,UPI,45.0,0
TXN-10110,CUST-332,2023-01-05 14:00:00,Home & Kitchen,162.29,PayPal,25.0,0
TXN-10111,CUST-957,2023-01-05 15:00:00,Beauty,137.27,Credit Card,25.0,0
TXN-10112,CUST-574,2023-01-05 16:00:00,Books,97.0,UPI,25.0,0
TXN-10113,CUST-497,2023-01-05 17:00:00,Home & Kitchen,164.62,PayPal,45.0,0
TXN-10114,CUST-791,2023-01-05 18:00:00,Home & Kitchen,101.51,Debit Card,34.0,0
TXN-10115,CUST-513,2023-01-05 19:00:00,Beauty,56.06,UPI,18.0,1
TXN-10116,CUST-430,2023-01-05 20:00:00,Home & Kitchen,56.19,Credit Card,60.0,0
TXN-10117,CUST-847,2023-01-05 21:00:00,Electronics,111.96,Credit Card,,0
TXN-10118,CUST-492,2023-01-05 22:00:00,Beauty,124.12,Credit Card,60.0,0
TXN-10119,CUST-230,2023-01-05 23:00:00,Electronics,158.23,Debit Card,60.0,0
TXN-10120,CUST-101,2023-01-06 00:00:00,Beauty,145.63,Debit Card,25.0,0
TXN-10121,CUST-330,2023-01-06 01:00:00,Home & Kitchen,123.19,Credit Card,18.0,1
TXN-10122,CUST-140,2023-01-06 02:00:00,Electronics,160.46,Credit Card,52.0,0
TXN-10123,CUST-501,2023-01-06 03:00:00,Home & Kitchen,120.51,Credit Card,45.0,0
TXN-10124,CUST-866,2023-01-06 04:00:00,Beauty,68.38,Debit Card,52.0,0
TXN-10125,CUST-739,2023-01-06 05:00:00,Home & Kitchen,59.66,Debit Card,25.0,1
TXN-10126,CUST-343,2023-01-06 06:00:00,Electronics,171.15,PayPal,34.0,1
TXN-10127,CUST-673,2023-01-06 07:00:00,Electronics,30.19,UPI,,0
TXN-10128,CUST-195,2023-01-06 08:00:00,Home & Kitchen,111.97,Debit Card,,0
TXN-10129,CUST-700,2023-01-06 09:00:00,Clothing,239.27,Credit Card,25.0,0
TXN-10130,CUST-330,2023-01-06 10:00:00,Beauty,138.37,UPI,18.0,0
TXN-10131,CUST-938,2023-01-06 11:00:00,Beauty,111.66,Debit Card,,0
TXN-10132,CUST-147,2023-01-06 12:00:00,Home & Kitchen,52.62,UPI,25.0,0
TXN-10133,CUST-120,2023-01-06 13:00:00,Clothing,184.69,PayPal,60.0,0
TXN-10134,CUST-790,2023-01-06 14:00:00,Electronics,168.55,Debit Card,34.0,1
TXN-10135,CUST-497,2023-01-06 15:00:00,Books,147.39,Credit Card,34.0,1
TXN-10136,CUST-484,2023-01-06 16:00:00,Books,119.98,Credit Card,45.0,0
TXN-10137,CUST-230,2023-01-06 17:00:00,Home & Kitchen,142.88,PayPal,45.0,0
TXN-10138,CUST-555,2023-01-06 18:00:00,Clothing,114.06,PayPal,60.0,0
TXN-10139,CUST-101,2023-01-06 19:00:00,Clothing,81.07,PayPal,34.0,0
TXN-10140,CUST-604,2023-01-06 20:00:00,Beauty,158.25,PayPal,60.0,1
TXN-10141,CUST-266,2023-01-06 21:00:00,Electronics,117.97,PayPal,34.0,0
TXN-10142,CUST-819,2023-01-06 22:00:00,Clothing,140.88,Debit Card,18.0,0
TXN-10143,CUST-206,2023-01-06 23:00:00,Books,115.16,Debit Card,25.0,0
TXN-10144,CUST-826,2023-01-07 00:00:00,Electronics,138.47,UPI,45.0,0
TXN-10145,CUST-624,2023-01-07 01:00:00,Electronics,119.42,PayPal,18.0,0
TXN-10146,CUST-798,2023-01-07 02:00:00,Home & Kitchen,116.3,Credit Card,,1
TXN-10147,CUST-786,2023-01-07 03:00:00,Clothing,121.2,Credit Card,25.0,1
TXN-10148,CUST-127,2023-01-07 04:00:00,Home & Kitchen,238.43,PayPal,45.0,0
TXN-10149,CUST-835,2023-01-07 05:00:00,Clothing,152.1,PayPal,,1
TXN-10150,CUST-956,2023-01-07 06:00:00,Beauty,223.44,PayPal,60.0,1
TXN-10151,CUST-395,2023-01-07 07:00:00,Home & Kitchen,119.68,PayPal,,0
TXN-10152,CUST-971,2023-01-07 08:00:00,Home & Kitchen,107.64,PayPal,18.0,0
TXN-10153,CUST-939,2023-01-07 09:00:00,Books,77.03,Credit Card,52.0,0
TXN-10154,CUST-234,2023-01-07 10:00:00,Home & Kitchen,184.13,UPI,,0
TXN-10155,CUST-256,2023-01-07 11:00:00,Clothing,83.79,PayPal,52.0,0
TXN-10156,CUST-152,2023-01-07 12:00:00,Books,192.38,PayPal,45.0,0
TXN-10157,CUST-501,2023-01-07 13:00:00,Home & Kitchen,79.35,PayPal,18.0,0
TXN-10158,CUST-120,2023-01-07 14:00:00,Home & Kitchen,155.47,Debit Card,,0
TXN-10159,CUST-458,2023-01-07 15:00:00,Beauty,56.36,Credit Card,25.0,0
TXN-10160,CUST-479,2023-01-07 16:00:00,Home & Kitchen,102.32,Credit Card,,0
TXN-10161,CUST-809,2023-01-07 17:00:00,Electronics,120.88,UPI,25.0,0
TXN-10162,CUST-443,2023-01-07 18:00:00,Books,96.1,Debit Card,18.0,0
TXN-10163,CUST-747,2023-01-07 19:00:00,Electronics,113.23,Debit Card,52.0,0
TXN-10164,CUST-120,2023-01-07 20:00:00,Books,113.42,Debit Card,18.0,0
TXN-10165,CUST-912,2023-01-07 21:00:00,Beauty,152.28,UPI,52.0,1
TXN-10166,CUST-202,2023-01-07 22:00:00,Home & Kitchen,36.53,UPI,52.0,0
TXN-10167,CUST-783,2023-01-07 23:00:00,Home & Kitchen,97.48,UPI,60.0,0
TXN-10168,CUST-379,2023-01-08 00:00:00,Home & Kitchen,170.19,Debit Card,60.0,0
TXN-10169,CUST-301,2023-01-08 01:00:00,Books,142.5,Credit Card,25.0,0
TXN-10170,CUST-620,2023-01-08 02:00:00,Home & Kitchen,170.85,Debit Card,45.0,0
TXN-10171,CUST-592,2023-01-08 03:00:00,Electronics,150.35,UPI,34.0,0
TXN-10172,CUST-662,2023-01-08 04:00:00,Home & Kitchen,76.66,Debit Card,18.0,1
TXN-10173,CUST-921,2023-01-08 05:00:00,Beauty,146.44,PayPal,52.0,0
TXN-10174,CUST-918,2023-01-08 06:00:00,Electronics,124.01,Debit Card,18.0,0
TXN-10175,CUST-502,2023-01-08 07:00:00,Home & Kitchen,210.72,Debit Card,45.0,0
TXN-10176,CUST-506,2023-01-08 08:00:00,Home & Kitchen,152.09,Credit Card,45.0,0
TXN-10177,CUST-754,2023-01-08 09:00:00,Clothing,140.93,Credit Card,34.0,0
TXN-10178,CUST-664,2023-01-08 10:00:00,Books,146.78,Credit Card,,0
TXN-10179,CUST-771,2023-01-08 11:00:00,Electronics,138.75,PayPal,34.0,1
TXN-10180,CUST-791,2023-01-08 12:00:00,Clothing,137.67,Credit Card,52.0,1
TXN-10181,CUST-608,2023-01-08 13:00:00,Beauty,109.35,PayPal,60.0,0
TXN-10182,CUST-827,2023-01-08 14:00:00,Books,141.42,UPI,,0
TXN-10183,CUST-127,2023-01-08 15:00:00,Electronics,157.94,Credit Card,34.0,1
TXN-10184,CUST-665,2023-01-08 16:00:00,Home & Kitchen,162.41,Debit Card,60.0,0
TXN-10185,CUST-663,2023-01-08 17:00:00,Electronics,157.56,Debit Card,,1
TXN-10186,CUST-283,2023-01-08 18:00:00,Home & Kitchen,180.32,PayPal,60.0,0
TXN-10187,CUST-289,2023-01-08 19:00:00,Books,164.92,Credit Card,52.0,1
TXN-10188,CUST-664,2023-01-08 20:00:00,Home & Kitchen,145.14,Debit Card,25.0,1
TXN-10189,CUST-786,2023-01-08 21:00:00,Beauty,74.25,UPI,60.0,0
TXN-10190,CUST-655,2023-01-08 22:00:00,Home & Kitchen,74.27,Credit Card,52.0,0
TXN-10191,CUST-333,2023-01-08 23:00:00,Beauty,110.07,UPI,34.0,0
TXN-10192,CUST-781,2023-01-09 00:00:00,Books,121.87,Debit Card,18.0,0
TXN-10193,CUST-572,2023-01-09 01:00:00,Books,175.92,Credit Card,34.0,0
TXN-10194,CUST-574,2023-01-09 02:00:00,Electronics,8.81,PayPal,45.0,0
TXN-10195,CUST-370,2023-01-09 03:00:00,Beauty,78.67,Debit Card,34.0,0
TXN-10196,CUST-393,2023-01-09 04:00:00,Beauty,112.23,UPI,25.0,0
TXN-10197,CUST-609,2023-01-09 05:00:00,Clothing,80.13,Credit Card,52.0,0
TXN-10198,CUST-484,2023-01-09 06:00:00,Clothing,88.08,UPI,60.0,0
TXN-10199,CUST-869,2023-01-09 07:00:00,Clothing,100.03,UPI,45.0,1
TXN-10200,CUST-596,2023-01-09 08:00:00,Home & Kitchen,82.17,PayPal,52.0,0
TXN-10201,CUST-221,2023-01-09 09:00:00,Clothing,89.1,PayPal,52.0,0
TXN-10202,CUST-332,2023-01-09 10:00:00,Beauty,174.53,Debit Card,60.0,0
TXN-10203,CUST-370,2023-01-09 11:00:00,Home & Kitchen,144.57,PayPal,,0
TXN-10204,CUST-379,2023-01-09 12:00:00,Books,150.56,PayPal,34.0,0
TXN-10205,CUST-790,2023-01-09 13:00:00,Electronics,118.64,Debit Card,18.0,0
TXN-10206,CUST-476,2023-01-09 14:00:00,Clothing,160.44,Debit Card,,1
TXN-10207,CUST-596,2023-01-09 15:00:00,Books,153.91,Debit Card,45.0,0
TXN-10208,CUST-939,2023-01-09 16:00:00,Beauty,143.94,Debit Card,60.0,1
TXN-10209,CUST-301,2023-01-09 17:00:00,Electronics,93.83,UPI,25.0,0
TXN-10210,CUST-486,2023-01-09 18:00:00,Books,102.32,UPI,25.0,0
TXN-10211,CUST-370,2023-01-09 19:00:00,Electronics,162.33,Debit Card,18.0,0
TXN-10212,CUST-472,2023-01-09 20:00:00,Clothing,99.33,Debit Card,18.0,1
TXN-10213,CUST-515,2023-01-09 21:00:00,Beauty,68.46,Credit Card,34.0,0
TXN-10214,CUST-791,2023-01-09 22:00:00,Electronics,98.56,Credit Card,25.0,1
TXN-10215,CUST-212,2023-01-09 23:00:00,Books,182.38,Credit Card,45.0,0
TXN-10216,CUST-646,2023-01-10 00:00:00,Clothing,98.6,PayPal,60.0,0
TXN-10217,CUST-506,2023-01-10 01:00:00,Clothing,133.11,UPI,18.0,0
TXN-10218,CUST-991,2023-01-10 02:00:00,Books,95.37,UPI,18.0,0
TXN-10219,CUST-561,2023-01-10 03:00:00,Books,150.54,Credit Card,18.0,0
TXN-10220,CUST-413,2023-01-10 04:00:00,Electronics,141.47,Credit Card,60.0,0
TXN-10221,CUST-560,2023-01-10 05:00:00,Home & Kitchen,60.35,UPI,45.0,0
TXN-10222,CUST-555,2023-01-10 06:00:00,Clothing,130.72,PayPal,25.0,0
TXN-10223,CUST-954,2023-01-10 07:00:00,Electronics,52.7,Credit Card,,0
TXN-10224,CUST-113,2023-01-10 08:00:00,Books,97.84,Debit Card,45.0,0
TXN-10225,CUST-602,2023-01-10 09:00:00,Electronics,119.54,Credit Card,60.0,0
TXN-10226,CUST-575,2023-01-10 10:00:00,Books,193.87,UPI,45.0,0
TXN-10227,CUST-799,2023-01-10 11:00:00,Beauty,132.72,UPI,34.0,1
TXN-10228,CUST-283,2023-01-10 12:00:00,Books,89.32,Credit Card,,1
TXN-10229,CUST-314,2023-01-10 13:00:00,Books,107.31,Credit Card,60.0,0
TXN-10230,CUST-261,2023-01-10 14:00:00,Books,156.97,Debit Card,,0
TXN-10231,CUST-367,2023-01-10 15:00:00,Home & Kitchen,89.86,Debit Card,,0
TXN-10232,CUST-473,2023-01-10 16:00:00,Books,163.88,PayPal,18.0,1
TXN-10233,CUST-352,2023-01-10 17:00:00,Clothing,99.08,PayPal,25.0,1
TXN-10234,CUST-739,2023-01-10 18:00:00,Clothing,83.39,Debit Card,,0
TXN-10235,CUST-576,2023-01-10 19:00:00,Electronics,100.36,PayPal,34.0,1
TXN-10236,CUST-101,2023-01-10 20:00:00,Home & Kitchen,55.35,PayPal,34.0,0
TXN-10237,CUST-829,2023-01-10 21:00:00,Electronics,33.1,Credit Card,60.0,0
TXN-10238,CUST-576,2023-01-10 22:00:00,Clothing,116.7,Debit Card,52.0,1
TXN-10239,CUST-863,2023-01-10 23:00:00,Clothing,117.31,Credit Card,18.0,1
TXN-10240,CUST-801,2023-01-11 00:00:00,Beauty,130.26,Credit Card,25.0,1
TXN-10241,CUST-624,2023-01-11 01:00:00,Books,116.5,PayPal,25.0,0
TXN-10242,CUST-316,2023-01-11 02:00:00,Clothing,213.17,Credit Card,25.0,0
TXN-10243,CUST-527,2023-01-11 03:00:00,Electronics,126.74,UPI,60.0,1
TXN-10244,CUST-447,2023-01-11 04:00:00,Electronics,64.94,PayPal,18.0,0
TXN-10245,CUST-829,2023-01-11 05:00:00,Books,75.2,UPI,,0
TXN-10246,CUST-929,2023-01-11 06:00:00,Books,120.01,PayPal,,0
TXN-10247,CUST-742,2023-01-11 07:00:00,Beauty,102.58,Credit Card,60.0,1
TXN-10248,CUST-754,2023-01-11 08:00:00,Home & Kitchen,70.86,PayPal,25.0,1
TXN-10249,CUST-844,2023-01-11 09:00:00,Electronics,117.65,UPI,,0
TXN-10250,CUST-653,2023-01-11 10:00:00,Books,118.23,PayPal,45.0,0
TXN-10251,CUST-915,2023-01-11 11:00:00,Electronics,183.83,UPI,45.0,0
TXN-10252,CUST-847,2023-01-11 12:00:00,Books,83.36,Debit Card,18.0,0
TXN-10253,CUST-301,2023-01-11 13:00:00,Clothing,103.29,Credit Card,25.0,0
TXN-10254,CUST-506,2023-01-11 14:00:00,Electronics,183.7,UPI,60.0,0
TXN-10255,CUST-602,2023-01-11 15:00:00,Clothing,133.14,Debit Card,52.0,1
TXN-10256,CUST-330,2023-01-11 16:00:00,Electronics,83.12,Credit Card,52.0,1
TXN-10257,CUST-382,2023-01-11 17:00:00,Home & Kitchen,91.41,Debit Card,52.0,0
TXN-10258,CUST-956,2023-01-11 18:00:00,Beauty,71.43,UPI,45.0,1
TXN-10259,CUST-954,2023-01-11 19:00:00,Clothing,123.09,Credit Card,60.0,0
TXN-10260,CUST-842,2023-01-11 20:00:00,Books,161.25,Debit Card,52.0,0
TXN-10261,CUST-430,2023-01-11 21:00:00,Home & Kitchen,185.24,UPI,25.0,1
TXN-10262,CUST-809,2023-01-11 22:00:00,Electronics,60.55,Debit Card,25.0,0
TXN-10263,CUST-447,2023-01-11 23:00:00,Clothing,154.76,Credit Card,52.0,1
TXN-10264,CUST-222,2023-01-12 00:00:00,Electronics,126.57,Credit Card,34.0,0
TXN-10265,CUST-737,2023-01-12 01:00:00,Electronics,109.52,Credit Card,52.0,1
TXN-10266,CUST-487,2023-01-12 02:00:00,Electronics,103.31,UPI,34.0,0
TXN-10267,CUST-101,2023-01-12 03:00:00,Beauty,43.16,Debit Card,18.0,0
TXN-10268,CUST-447,2023-01-12 04:00:00,Beauty,145.52,Debit Card,18.0,0
TXN-10269,CUST-833,2023-01-12 05:00:00,Books,67.25,UPI,25.0,0
TXN-10270,CUST-763,2023-01-12 06:00:00,Clothing,90.07,Credit Card,60.0,0
TXN-10271,CUST-653,2023-01-12 07:00:00,Home & Kitchen,136.72,PayPal,45.0,0
TXN-10272,CUST-370,2023-01-12 08:00:00,Home & Kitchen,47.33,Credit Card,60.0,1
TXN-10273,CUST-748,2023-01-12 09:00:00,Home & Kitchen,67.17,PayPal,25.0,1
TXN-10274,CUST-608,2023-01-12 10:00:00,Electronics,168.75,Credit Card,25.0,1
TXN-10275,CUST-741,2023-01-12 11:00:00,Beauty,124.88,UPI,60.0,1
TXN-10276,CUST-302,2023-01-12 12:00:00,Clothing,93.51,PayPal,45.0,1
TXN-10277,CUST-673,2023-01-12 13:00:00,Electronics,125.04,UPI,25.0,0
TXN-10278,CUST-476,2023-01-12 14:00:00,Beauty,146.78,PayPal,,1
TXN-10279,CUST-931,2023-01-12 15:00:00,Beauty,164.99,Debit Card,,1
TXN-10280,CUST-127,2023-01-12 16:00:00,Clothing,75.5,PayPal,45.0,0
TXN-10281,CUST-664,2023-01-12 17:00:00,Clothing,79.01,PayPal,25.0,0
TXN-10282,CUST-915,2023-01-12 18:00:00,Clothing,144.33,PayPal,,0
TXN-10283,CUST-591,2023-01-12 19:00:00,Electronics,145.62,Debit Card,18.0,1
TXN-10284,CUST-604,2023-01-12 20:00:00,Books,66.24,UPI,34.0,0
TXN-10285,CUST-602,2023-01-12 21:00:00,Clothing,80.51,Debit Card,25.0,1
TXN-10286,CUST-127,2023-01-12 22:00:00,Books,112.25,PayPal,34.0,0
TXN-10287,CUST-746,2023-01-12 23:00:00,Electronics,120.94,Credit Card,52.0,0
TXN-10288,CUST-574,2023-01-13 00:00:00,Books,122.08,Debit Card,,1
TXN-10289,CUST-848,2023-01-13 01:00:00,Home & Kitchen,65.63,Credit Card,25.0,0
TXN-10290,CUST-674,2023-01-13 02:00:00,Books,121.67,Debit Card,18.0,0
TXN-10291,CUST-781,2023-01-13 03:00:00,Clothing,91.31,Debit Card,45.0,0
TXN-10292,CUST-195,2023-01-13 04:00:00,Electronics,73.35,PayPal,18.0,1
TXN-10293,CUST-476,2023-01-13 05:00:00,Clothing,119.56,UPI,34.0,0
TXN-10294,CUST-912,2023-01-13 06:00:00,Home & Kitchen,115.48,UPI,45.0,0
TXN-10295,CUST-598,2023-01-13 07:00:00,Clothing,152.07,PayPal,18.0,0
TXN-10296,CUST-561,2023-01-13 08:00:00,Clothing,85.56,Debit Card,18.0,0
TXN-10297,CUST-739,2023-01-13 09:00:00,Clothing,129.41,UPI,18.0,0
TXN-10298,CUST-324,2023-01-13 10:00:00,Beauty,57.25,UPI,60.0,1
TXN-10299,CUST-776,2023-01-13 11:00:00,Home & Kitchen,109.01,UPI,45.0,0
